0,0,0,8,0
22,0,0,62,0
24,0,0,50,0
0,0,0,10,0
4,0,0,14,1
2,0,0,2,0
7,0,6,27,0
0,0,0,6,1
6,0,0,12,1
8,0,0,16,0
0,8,6,58,0
0,0,0,30,0
2,0,0,4,0
4,0,0,4,1
10,0,0,62,0
0,0,0,10,1
0,0,0,6,1
0,0,0,2,1
0,2,0,22,0
4,0,0,20,1
15,7,1,77,0
4,0,0,40,0
0,0,10,18,1
2,0,0,4,0
0,0,0,8,0
22,6,6,46,0
0,0,0,32,0
0,0,0,16,1
0,0,0,4,0
0,0,2,32,0
10,0,0,10,1
6,0,0,6,0
4,0,0,28,1
0,0,0,2,0
0,0,0,53,0
19,7,2,72,0
18,0,2,36,0
0,0,0,28,0
0,0,12,54,0
0,0,0,2,0
0,0,0,8,1
6,0,0,0,1
0,0,6,78,0
4,0,0,28,0
8,4,0,30,0
24,3,0,73,0
6,2,0,32,0
0,0,0,54,0
0,0,0,2,1
23,0,12,65,1
6,0,0,30,0
12,0,2,86,0
4,0,0,28,0
20,0,5,75,0
0,0,0,4,0
32,10,4,54,1
4,10,0,46,1
46,16,4,98,0
0,0,28,34,0
10,7,0,83,0
9,5,0,86,0
15,1,15,69,0
14,0,0,50,0
0,2,0,76,0
38,13,0,49,0
36,2,0,36,0
0,0,0,4,1
19,0,0,81,1
0,0,0,52,0
35,2,3,60,1
2,0,0,10,1
16,8,2,52,0
26,8,0,40,0
0,0,30,70,0
0,0,0,20,0
6,0,0,14,1
0,0,15,85,1
12,0,0,60,1
0,0,26,32,0
0,0,0,10,0
14,2,2,72,1
0,0,0,100,0
0,0,0,2,0
2,12,2,39,0
0,0,0,38,0
14,12,0,74,1
15,0,0,85,0
0,0,0,2,0
28,6,0,64,0
34,6,0,60,0
0,0,2,20,1
6,24,0,66,0
0,0,0,42,0
32,3,2,63,1
10,0,2,88,1
28,2,0,34,1
0,0,0,2,0
43,1,3,53,1
27,0,0,73,0
29,9,2,60,0
27,0,0,73,0
14,8,10,22,0
4,0,0,96,0
0,0,0,10,0
0,0,0,2,1
8,4,0,26,0
0,0,18,16,0
4,0,9,87,1
20,9,0,71,1
0,0,12,60,1
29,0,0,71,1
0,0,0,14,0
0,2,0,56,0
0,0,0,16,1
8,0,8,78,0
0,0,0,16,1
18,0,0,50,1
6,0,4,84,1
21,0,6,73,0
8,0,4,54,0
0,0,0,6,0
32,2,0,38,1
10,0,0,15,1
2,0,0,8,0
0,0,0,2,0
8,0,0,5,0
0,0,0,4,0
4,0,0,40,0
18,0,2,66,0
0,0,0,2,0
6,2,0,0,0
14,1,0,85,0
10,0,14,76,0
0,0,2,36,0
0,0,0,2,1
16,0,0,50,0
0,0,0,4,0
2,0,2,8,0
2,0,0,2,0
18,0,0,62,0
0,0,5,95,1
0,0,2,16,1
4,0,10,6,0
2,0,0,6,1
8,0,4,51,0
0,0,0,76,0
0,0,0,10,1
26,0,7,67,1
31,0,0,69,0
2,0,0,98,0
2,0,0,0,1
12,6,0,48,0
0,0,0,4,0
0,0,0,4,0
26,10,0,42,0
2,0,0,24,0
0,0,2,98,0
2,0,0,0,0
0,0,0,2,1
18,4,0,34,0
11,0,0,89,0
0,0,0,2,1
4,0,0,2,1
2,0,0,0,0
2,0,15,3,0
2,2,0,2,1
0,0,0,2,0
22,0,0,50,1
18,0,0,50,0
2,0,0,6,0
2,2,0,4,1
22,6,4,32,0
0,0,0,2,0
0,0,0,2,0
0,0,0,4,0
0,2,0,10,0
0,2,0,8,1
2,0,0,4,1
40,0,0,60,1
18,0,0,44,0
0,0,0,2,1
0,0,30,70,1
0,0,10,2,0
0,0,0,2,0
20,0,0,54,0
0,0,0,22,1
5,0,13,82,1
25,7,4,64,1
0,0,0,6,1
32,5,0,63,1
36,7,0,57,0
0,0,0,53,0
6,0,2,24,0
0,0,0,2,0
6,0,6,22,1
14,4,0,18,0
4,2,0,72,0
6,0,0,52,0
6,0,4,32,0
2,0,0,8,0
26,2,0,32,0
0,0,0,4,0
0,0,0,4,1
20,6,0,70,1
2,0,0,0,0
0,0,10,90,0
0,0,0,2,0
0,0,0,8,0
15,28,0,57,0
16,0,0,50,1
2,0,0,6,1
24,0,0,46,0
0,0,0,100,0
0,0,8,78,0
16,0,0,82,1
2,0,0,54,1
18,2,0,38,0
34,0,0,36,0
0,0,0,52,0
0,0,0,2,0
6,0,0,30,1
20,0,0,80,0
2,0,4,18,1
6,0,0,28,0
0,0,0,6,1
20,10,2,64,0
0,0,0,10,0
47,2,2,49,1
0,0,26,9,1
38,2,2,58,1
2,0,0,2,0
14,8,0,46,0
0,0,2,2,1
18,2,0,12,1
0,0,0,4,0
6,0,0,0,0
0,0,0,2,0
6,0,0,0,1
0,0,14,10,0
0,0,0,2,0
23,5,0,72,1
4,0,0,28,0
30,0,0,70,1
23,8,0,69,0
0,0,0,2,1
0,0,0,34,0
20,6,4,34,1
0,0,0,14,0
0,2,0,0,1
22,2,4,56,1
0,0,32,20,1
31,0,0,69,1
0,0,0,4,1
0,2,0,12,1
26,2,0,40,1
31,0,1,68,1
28,2,0,64,0
16,0,0,66,0
0,0,0,2,0
28,20,5,47,0
35,11,4,50,0
38,0,0,62,0
27,5,0,68,0
24,2,2,20,0
0,0,0,2,1
0,0,0,16,0
6,0,0,6,0
2,0,0,2,1
2,0,0,12,1
32,0,0,64,0
4,0,0,28,0
29,0,6,65,1
28,0,0,46,0
0,0,0,32,0
8,0,2,82,0
22,8,0,70,1
0,0,0,14,1
2,0,0,6,0
4,2,0,4,0
4,0,0,4,0
0,2,4,0,1
0,0,2,38,0
2,0,0,98,1
0,0,18,48,0
0,0,6,42,0
2,0,0,6,0
2,0,2,8,1
2,0,6,4,1
25,0,8,67,1
0,0,8,2,0
2,0,0,32,1
6,0,20,71,0
0,2,0,0,0
26,0,2,60,0
12,2,0,86,1
0,2,0,20,0
8,2,0,0,0
10,0,0,70,0
0,2,6,54,1
0,0,0,8,1
6,9,0,85,0
16,2,0,10,1
0,0,0,8,0
0,0,12,40,0
0,0,30,70,1
2,0,0,17,1
0,4,0,70,0
0,0,0,12,0
14,2,0,84,0
6,0,0,4,1
28,4,4,46,0
38,2,0,60,1
12,0,2,20,1
8,0,0,44,0
0,0,0,82,0
0,0,18,40,1
30,13,2,55,1
0,0,18,76,0
2,0,0,30,0
0,0,0,6,1
0,2,0,36,0
0,0,0,6,0
25,0,0,75,0
24,0,0,30,1
24,6,2,64,0
26,6,0,68,0
2,0,0,20,0
0,0,16,6,1
29,6,2,63,0
2,0,0,2,0
0,0,0,10,1
6,12,2,42,1
6,2,4,44,0
28,0,0,54,0
36,0,11,153,0
8,0,0,4,0
0,0,0,4,0
12,28,2,58,0
21,0,0,79,1
10,4,0,48,0
0,2,0,2,1
25,7,0,68,1
20,4,0,10,1
4,0,0,22,0
24,12,2,56,1
43,7,0,50,1
4,2,0,12,0
10,0,2,48,0
30,3,0,67,1
10,0,0,36,0
2,0,0,44,0
0,2,2,4,0
2,0,0,2,1
6,0,0,32,0
2,0,0,16,1
0,0,4,96,0
0,0,2,2,0
27,0,0,73,0
50,0,0,50,1
0,0,0,4,1
4,0,0,64,1
22,0,2,36,0
0,0,0,2,1
22,4,2,40,0
0,0,2,20,1
43,0,2,55,0
0,0,0,12,1
26,2,0,36,1
8,4,0,8,0
30,0,4,48,0
0,0,2,8,1
9,8,0,83,0
37,2,1,60,0
0,0,0,78,1
22,2,2,42,0
0,0,0,4,0
7,4,2,87,0
39,6,3,52,0
0,0,14,72,0
8,0,22,70,1
12,17,0,71,0
49,4,2,45,1
0,2,0,34,1
0,0,0,2,1
6,0,0,18,1
27,0,0,73,0
22,8,0,28,0
0,0,0,2,1
0,0,0,88,0
0,0,0,4,1
66,18,0,203,0
4,0,0,6,0
0,0,2,36,0
4,0,0,12,0
2,0,0,0,0
18,4,0,34,0
0,2,0,56,0
8,0,0,12,1
28,2,0,66,0
2,2,2,22,1
0,0,0,2,0
2,0,0,0,0
0,2,0,6,0
0,0,0,10,1
0,0,0,6,0
14,8,0,60,0
24,0,0,72,0
0,0,31,69,0
6,0,0,14,0
4,0,0,8,0
2,0,0,2,1
2,0,0,2,1
29,0,0,71,0
0,0,0,16,0
0,0,0,12,0
0,2,0,0,0
28,2,0,42,1
34,0,0,50,1
2,0,0,4,1
0,0,0,18,0
0,0,0,2,0
0,0,0,2,0
0,0,0,34,1
0,0,8,6,1
22,2,0,48,0
12,5,5,78,0
30,6,0,64,1
0,2,0,98,0
0,0,0,4,1
0,0,0,2,0
0,0,0,18,1
2,0,0,12,1
18,2,1,79,0
4,0,2,94,0
0,0,0,20,0
28,0,0,46,1
12,0,0,26,0
0,0,0,2,1
6,0,0,2,0
0,0,0,2,0
4,0,0,2,1
0,0,0,2,0
4,0,0,10,1
0,2,0,2,1
0,2,0,4,0
2,0,0,8,0
18,0,0,42,0
16,14,0,46,0
0,0,0,6,0
0,0,0,78,1
4,0,0,36,0
31,2,0,67,1
4,0,0,96,1
8,2,0,46,1
6,0,2,76,0
3,0,0,97,1
0,0,0,10,1
29,0,2,69,0
0,0,0,2,1
2,0,4,10,1
34,3,0,63,0
4,0,0,50,1
8,0,0,48,0
26,0,0,58,1
2,0,0,4,0
30,16,0,54,0
0,0,0,4,0
18,6,0,42,0
0,0,0,32,0
2,0,0,98,1
0,0,0,92,0
0,0,0,8,0
0,0,0,2,0
25,2,1,72,0
0,0,0,2,1
5,0,0,95,1
2,0,12,28,1
38,3,0,59,0
6,0,0,8,1
0,0,0,2,1
6,0,0,2,1
0,0,0,2,0
0,0,0,100,0
25,1,0,74,1
30,0,2,24,1
18,0,0,46,1
0,0,0,2,0
28,2,2,44,1
0,6,0,82,0
17,5,2,76,0
14,0,0,56,0
22,0,0,78,0
2,0,0,8,0
31,0,0,69,1
0,0,0,6,0
12,0,0,16,1
0,0,20,76,0
10,4,4,50,0
2,0,0,0,0
0,0,0,8,1
0,0,0,20,1
4,0,0,30,0
14,0,3,83,1
22,2,0,62,0
18,1,0,81,1
24,2,0,54,0
12,0,0,48,1
0,0,0,2,0
30,0,0,70,0
44,12,4,88,0
4,0,0,12,0
6,0,0,56,0
10,0,0,30,0
5,5,0,90,1
26,0,2,54,1
2,0,0,4,1
0,6,0,18,0
24,0,0,76,0
0,0,0,2,1
35,0,2,63,1
0,0,0,2,0
2,0,0,26,0
0,2,0,2,0
0,0,0,52,0
0,0,0,4,1
4,20,0,36,1
0,0,0,12,1
0,0,0,4,0
2,0,0,4,0
0,0,0,12,1
16,0,0,54,0
8,0,2,90,0
0,0,0,2,0
17,27,2,54,0
6,2,2,64,0
0,0,0,4,1
0,0,2,2,1
24,10,8,58,0
11,2,0,87,0
0,0,4,96,0
38,2,1,59,0
24,0,4,26,0
24,4,0,38,0
16,0,2,42,0
16,0,0,54,0
44,0,2,54,1
43,0,2,55,1
2,4,0,50,0
15,0,8,11,1
26,0,0,28,0
4,0,0,8,0
27,13,2,58,1
4,0,0,30,0
2,0,0,0,0
10,0,0,90,0
0,0,0,6,1
4,2,0,2,0
0,0,0,42,0
5,0,0,95,1
2,0,0,2,1
4,0,0,6,0
24,0,8,38,0
2,0,0,38,0
16,0,0,42,1
24,0,0,70,1
21,6,2,71,0
2,4,0,0,1
0,0,0,2,0
4,2,0,6,0
0,0,4,6,0
0,0,10,0,0
18,4,10,54,0
0,0,17,16,1
0,0,0,6,1
2,0,0,0,0
4,0,0,0,0
0,0,0,2,1
16,2,0,56,0
0,0,32,68,1
0,0,1,99,0
4,2,0,2,0
33,0,0,67,0
0,2,0,4,0
2,10,0,24,0
15,0,1,84,0
0,0,0,10,0
6,0,0,12,1
0,0,14,2,1
0,0,0,10,0
16,2,2,27,0
4,2,0,94,1
26,0,2,26,0
0,0,8,18,1
8,0,0,40,0
41,3,0,56,1
6,0,0,2,0
0,0,21,79,0
19,0,6,73,0
36,12,0,52,0
0,0,0,2,1
6,0,0,4,1
11,0,0,89,1
0,0,4,22,1
44,9,4,43,0
10,2,0,20,1
0,0,0,4,0
24,0,0,76,0
18,8,0,54,0
50,0,0,40,1
0,0,0,34,0
26,0,0,60,0
2,4,0,24,0
8,0,0,2,1
0,0,0,4,0
14,16,0,56,0
10,6,0,70,1
0,0,10,34,0
20,0,0,40,0
2,0,0,98,0
0,0,4,14,1
0,0,8,92,1
2,0,0,98,1
8,24,0,68,0
26,4,2,58,0
21,5,0,74,1
34,2,0,64,0
2,0,0,2,1
0,0,0,2,0
0,0,0,4,0
20,2,0,20,0
22,0,2,52,0
0,0,8,58,0
4,0,0,28,0
17,2,23,58,1
2,0,0,14,0
8,2,0,12,1
0,0,14,8,0
28,10,0,48,1
2,0,0,2,0
8,0,0,46,0
32,0,2,54,0
26,0,14,56,0
28,4,0,68,1
2,0,4,20,1
4,8,0,48,0
0,2,0,0,0
8,0,0,52,1
0,0,2,0,0
50,0,0,50,0
6,0,6,44,0
0,0,0,8,0
2,0,0,6,0
16,0,0,56,0
8,0,0,66,1
10,0,4,10,1
5,1,0,94,1
29,5,1,65,1
41,4,2,53,1
0,0,0,8,0
0,0,0,16,0
0,0,0,2,0
16,4,0,80,0
0,0,0,4,1
25,0,2,73,0
12,0,0,60,0
0,0,0,4,0
8,0,0,8,1
8,0,0,46,0
0,0,0,4,0
6,0,0,60,1
2,4,0,0,0
39,2,0,59,0
0,0,0,6,1
0,0,0,2,1
6,0,0,14,0
6,0,0,28,1
39,1,0,60,0
7,0,6,87,1
0,0,0,6,0
2,0,0,2,1
2,0,0,41,0
0,0,4,10,0
8,0,0,10,1
31,6,11,52,0
0,0,0,6,0
22,2,0,56,0
47,2,0,51,1
16,0,0,22,0
0,0,0,4,1
2,0,0,22,1
4,0,0,16,0
6,0,4,12,1
9,0,10,81,1
0,8,2,90,0
2,0,0,8,1
8,0,0,6,1
10,0,0,24,1
9,2,2,87,0
0,2,0,20,0
30,0,2,56,0
4,0,0,66,1
4,0,2,2,1
22,6,0,46,0
6,6,0,46,0
0,0,0,10,1
23,9,0,68,0
0,0,2,2,1
0,0,0,2,0
0,0,20,18,1
14,0,0,34,0
20,0,0,38,0
37,0,2,61,1
0,0,0,4,0
0,0,0,12,0
0,0,0,94,0
0,0,0,2,1
27,15,0,58,0
6,0,0,10,0
38,6,0,36,1
28,0,0,46,1
22,0,0,46,0
0,0,0,2,1
4,0,0,8,0
49,3,0,48,0
34,0,6,60,0
10,3,0,87,0
0,0,4,30,0
18,0,0,82,1
0,0,0,26,0
0,0,4,8,1
30,0,0,26,0
0,0,0,2,1
5,0,0,27,0
1,0,0,7,1
10,0,0,30,0
0,0,0,6,1
8,0,0,8,1
0,0,4,6,1
12,0,0,24,1
8,0,0,10,1
12,8,0,48,0
24,14,0,26,0
4,0,0,66,1
4,0,0,10,1
0,0,0,4,0
0,0,0,16,1
2,0,0,2,0
8,0,2,8,1
20,0,0,34,0
2,0,0,0,0
18,14,0,42,0
10,0,2,40,0
0,0,26,74,0
32,2,4,62,1
2,0,0,34,0
0,0,0,10,0
2,2,0,2,1
0,0,0,2,1
0,8,0,92,0
4,0,0,10,0
2,0,0,14,0
0,0,4,78,0
23,0,1,76,0
9,0,2,6,0
80,10,0,210,0
8,0,16,28,1
0,0,2,18,0
0,0,0,12,1
0,0,0,2,1
16,5,0,79,0
32,2,0,66,1
37,10,3,50,0
6,0,0,4,0
36,0,0,44,1
0,0,4,20,1
26,5,0,69,0
0,0,4,72,0
4,2,0,2,0
18,0,0,82,1
6,0,2,36,1
9,0,2,89,0
0,0,0,4,0
8,0,2,54,0
23,5,2,70,0
0,2,0,34,0
41,3,0,56,0
12,0,0,2,1
0,0,4,5,0
0,0,0,12,0
6,0,0,8,1
10,0,2,20,0
28,4,0,30,0
43,0,0,57,1
0,0,2,26,0
0,0,0,21,0
0,0,0,10,0
0,0,6,60,1
2,0,0,8,0
2,6,0,0,1
0,0,0,4,0
0,0,2,0,0
8,0,2,16,1
0,0,0,4,1
10,0,0,28,1
33,2,0,65,1
2,0,0,0,1
0,0,6,28,1
18,5,2,75,0
4,0,0,60,1
16,4,0,36,0
0,0,2,70,0
4,0,2,6,1
2,6,0,0,0
0,0,0,62,0
0,0,2,6,0
2,0,0,6,1
16,0,6,28,1
0,0,0,2,1
0,0,26,51,0
0,0,0,2,1
4,0,0,12,1
8,0,0,38,0
0,0,0,8,0
10,4,0,34,1
33,0,3,64,0
2,0,0,18,1
0,0,0,70,1
0,0,0,32,0
16,2,0,82,0
0,0,0,12,0
20,4,0,38,0
14,6,0,80,1
4,0,2,6,1
26,0,2,56,1
0,0,0,4,1
10,0,0,44,0
0,0,0,54,1
0,0,0,4,0
0,2,0,0,0
4,0,0,4,1
18,12,2,38,0
2,0,30,68,1
0,0,0,4,0
0,0,6,32,0
6,0,0,6,1
4,2,0,0,0
28,4,0,34,1
42,0,0,58,1
0,0,0,20,1
0,0,0,8,0
8,0,0,34,0
12,6,0,40,0
28,0,4,50,1
18,0,2,80,0
0,0,0,2,1
16,4,3,77,0
0,0,0,2,1
2,2,0,10,1
28,3,0,69,0
2,2,0,38,0
0,0,2,2,0
4,0,0,24,0
19,0,8,43,0
7,10,0,83,0
0,0,0,2,1
6,6,0,46,1
4,8,2,14,0
0,0,0,6,0
0,0,0,2,1
22,16,2,22,0
33,6,2,59,1
32,10,0,56,1
7,0,0,93,1
